開催回,日付,第1数字,第2数字,第3数字,第4数字,第5数字,第6数字,第7数字,BONUS数字1,BONUS数字2,セット
1,2013/04/05,7,10,12,17,23,28,34,3,15,A
2,2013/4/12,20,24,29,31,33,34,35,32,12,E
3,2013/4/19,2,7,8,11,14,23,31,5,15,G
4,2013/4/26,12,13,22,23,24,28,29,2,14,C
5,2013/5/3,1,3,4,5,16,21,28,22,31,I
6,2013/5/10,5,15,19,23,30,34,35,6,25,J
7,2013/5/17,1,3,5,7,27,29,33,6,15,H
8,2013/5/24,2,21,28,29,30,32,36,6,8,B
9,2013/5/31,3,4,15,23,27,30,36,13,35,D
10,2013/6/7,1,2,3,6,24,28,30,16,20,D
11,2013/6/14,9,15,26,29,32,34,36,14,35,F
12,2013/6/21,11,12,14,19,26,27,33,24,32,A
13,2013/6/28,6,10,16,21,27,28,35,15,34,C
14,2013/7/5,4,7,8,9,24,28,30,34,36,E
15,2013/7/12,2,10,14,17,23,25,35,8,29,G
16,2013/7/19,5,6,9,13,16,21,23,8,34,D
17,2013/7/26,2,3,5,22,34,36,37,7,15,J
18,2013/8/2,12,17,21,24,29,31,36,20,26,G
19,2013/8/9,2,14,19,20,21,22,31,1,15,B
20,2013/8/16,2,5,13,20,21,23,28,11,22,I
21,2013/8/23,1,9,13,15,25,30,33,19,28,H
22,2013/8/30,2,4,8,9,15,23,25,3,10,C
23,2013/9/6,4,8,11,25,28,29,30,14,32,F
24,2013/9/13,4,5,8,10,16,19,33,2,29,A
25,2013/9/20,1,6,11,16,17,18,21,10,24,E
26,2013/9/27,11,13,16,18,26,31,36,21,27,D
27,2013/10/4,1,10,11,14,17,18,28,25,26,B
28,2013/10/11,6,7,12,15,19,35,37,1,11,J
29,2013/10/18,2,3,16,17,24,26,28,15,31,C
30,2013/10/25,6,8,13,22,26,32,36,16,34,G
31,2013/11/1,9,12,13,19,23,33,34,20,32,I
32,2013/11/8,3,8,15,18,27,29,37,31,34,A
33,2013/11/15,1,4,17,24,29,33,36,19,30,F
34,2013/11/22,4,6,7,23,24,32,35,8,27,H
35,2013/11/29,1,16,18,19,25,30,34,26,36,E
36,2013/12/6,5,6,10,11,20,28,36,25,37,E
37,2013/12/13,7,8,10,13,14,19,37,29,33,J
38,2013/12/20,4,14,19,22,24,29,34,8,31,D
39,2013/12/27,7,13,19,23,25,26,30,1,18,F
40,2014/1/10,2,6,11,23,26,31,34,7,20,C
41,2014/1/17,2,3,8,15,34,35,36,25,28,B
42,2014/1/24,2,15,16,17,23,31,33,8,26,G
43,2014/1/31,4,6,7,8,24,31,37,5,13,C
44,2014/2/7,3,4,6,15,27,28,29,1,14,I
45,2014/2/14,1,2,9,18,21,27,33,25,31,A
46,2014/2/21,2,5,6,15,23,27,30,4,35,J
47,2014/2/28,2,9,11,14,20,21,36,6,15,H
